cm Top_i (cm)                   ,age Top_i (yr BP)              ,char Count_i (#)               ,char Vol_i (cm3)               ,char Con_i (# cm-3)            ,char Acc_i (# cm-2 yr-1)       ,charBkg (# cm-2 yr-1)          ,char Peak (# cm-2 yr-1)        ,thresh 1 (# cm-2 yr-1)         ,thresh 2 (# cm-2 yr-1)         ,thresh 3 (# cm-2 yr-1)         ,thresh FinalPos (# cm-2 yr-1)  ,thresh FinalNeg (# cm-2 yr-1)  ,SNI (index)                    ,thresh GOF (p-val)             ,peaks 1                        ,peaks 2                        ,peaks 3                        ,peaks Final                    ,peaks Insig.                   ,peak Mag (# cm-2 peak-1)       ,smPeak Frequ (peaks 1ka-1)     ,smFRIs (yr*fire-1)             ,nFRIs (#)                      ,mFRI (yr fire-1)               ,mFRI_uCI (yr fire-1)           ,mFRI_lCI (yr fire-1)           ,WBLb (yr)                      ,WBLb_uCI (yr)                  ,WBLb_lCI (yr fire-1)           ,WBLc (unitless)                ,WBLc_uCI (unitless)            ,WBLc_lCI (unitless)            
21.4792                         ,1029                           ,9.6                            ,3                              ,3.2                            ,0.066667                       ,0.057008                       ,0.0096588                      ,0.034344                       ,0.053944                       ,0.075914                       ,0.053944                       ,-0.079868                      ,4.0696                         ,0.075331                       ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,7.3044                         ,133.1229                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
21.7917                         ,1044                           ,3                              ,3                              ,1                              ,0.020833                       ,0.057739                       ,-0.036906                      ,0.034844                       ,0.054605                       ,0.076755                       ,0.054605                       ,-0.080306                      ,4.0273                         ,0.74346                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,7.263                          ,134.1108                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
22.1042                         ,1059                           ,3.4                            ,3                              ,1.1333                         ,0.023611                       ,0.058437                       ,-0.034826                      ,0.035467                       ,0.055407                       ,0.077758                       ,0.055407                       ,-0.080729                      ,3.9994                         ,0.57049                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,7.2213                         ,135.1153                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
22.4167                         ,1074                           ,4.9333                         ,3                              ,1.6444                         ,0.032327                       ,0.059085                       ,-0.026758                      ,0.036225                       ,0.056369                       ,0.078948                       ,0.056369                       ,-0.081159                      ,3.9878                         ,0.66384                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,7.1796                         ,136.1198                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
22.7115                         ,1089                           ,15.4                           ,3                              ,5.1333                         ,0.10585                        ,0.059652                       ,0.046196                       ,0.037109                       ,0.057483                       ,0.080319                       ,0.057483                       ,-0.081613                      ,3.9929                         ,0.50328                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,7.1382                         ,137.1244                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
23.0208                         ,1104                           ,20.8667                        ,3                              ,6.9556                         ,0.14491                        ,0.060109                       ,0.084798                       ,0.038108                       ,0.058739                       ,0.081865                       ,0.058739                       ,-0.082114                      ,4.0135                         ,0.76501                        ,1                              ,1                              ,1                              ,1                              ,0                              ,0.39088                        ,7.0972                         ,138.1289                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
23.3333                         ,1119                           ,2.6                            ,3                              ,0.86667                        ,0.018056                       ,0.060438                       ,-0.042383                      ,0.039235                       ,0.060158                       ,0.08361                        ,0.060158                       ,-0.082688                      ,4.0476                         ,0.72768                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,7.0566                         ,139.1334                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
23.6458                         ,1134                           ,1                              ,3                              ,0.33333                        ,0.0069444                      ,0.060634                       ,-0.05369                       ,0.040495                       ,0.061747                       ,0.085569                       ,0.061747                       ,-0.083348                      ,4.093                          ,0.71515                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,7.0166                         ,140.1719                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
23.9583                         ,1149                           ,0.33333                        ,3                              ,0.11111                        ,0.0023148                      ,0.060704                       ,-0.058389                      ,0.041851                       ,0.06346                        ,0.087682                       ,0.06346                        ,-0.084071                      ,4.1478                         ,0.58929                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,6.9773                         ,141.3037                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
24.2708                         ,1164                           ,3                              ,3                              ,1                              ,0.020833                       ,0.060665                       ,-0.039831                      ,0.043206                       ,0.065172                       ,0.089794                       ,0.065172                       ,-0.084795                      ,4.2111                         ,0.84669                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,6.9388                         ,142.4355                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
24.5833                         ,1179                           ,11.4                           ,3                              ,3.8                            ,0.076325                       ,0.060539                       ,0.015786                       ,0.044536                       ,0.066851                       ,0.091864                       ,0.066851                       ,-0.085497                      ,4.2804                         ,0.86532                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,6.9011                         ,143.5673                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
24.8846                         ,1194                           ,15                             ,3                              ,5                              ,0.10096                        ,0.060356                       ,0.040605                       ,0.045855                       ,0.068513                       ,0.093909                       ,0.068513                       ,-0.086174                      ,4.3526                         ,0.81964                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,6.8643                         ,144.6992                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
