cm Top_i (cm)                   ,age Top_i (yr BP)              ,char Count_i (#)               ,char Vol_i (cm3)               ,char Con_i (# cm-3)            ,char Acc_i (# cm-2 yr-1)       ,charBkg (# cm-2 yr-1)          ,char Peak (# cm-2 yr-1)        ,thresh 1 (# cm-2 yr-1)         ,thresh 2 (# cm-2 yr-1)         ,thresh 3 (# cm-2 yr-1)         ,thresh FinalPos (# cm-2 yr-1)  ,thresh FinalNeg (# cm-2 yr-1)  ,SNI (index)                    ,thresh GOF (p-val)             ,peaks 1                        ,peaks 2                        ,peaks 3                        ,peaks Final                    ,peaks Insig.                   ,peak Mag (# cm-2 peak-1)       ,smPeak Frequ (peaks 1ka-1)     ,smFRIs (yr*fire-1)             ,nFRIs (#)                      ,mFRI (yr fire-1)               ,mFRI_uCI (yr fire-1)           ,mFRI_lCI (yr fire-1)           ,WBLb (yr)                      ,WBLb_uCI (yr)                  ,WBLb_lCI (yr fire-1)           ,WBLc (unitless)                ,WBLc_uCI (unitless)            ,WBLc_lCI (unitless)            
15.3056                         ,258                            ,20.4                           ,3                              ,6.8                            ,0.18889                        ,0.29791                        ,-0.10902                       ,0.23441                        ,0.31931                        ,0.41446                        ,0.31931                        ,-0.26027                       ,7.2068                         ,0.00046768                     ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,2.7532                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
15.7222                         ,273                            ,23.6667                        ,3                              ,7.8889                         ,0.22343                        ,0.29948                        ,-0.076048                      ,0.23044                        ,0.31416                        ,0.408                          ,0.31416                        ,-0.25739                       ,7.089                          ,0.00048992                     ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,2.7664                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
16.1471                         ,288                            ,33.6                           ,3                              ,11.2                           ,0.32575                        ,0.30103                        ,0.024726                       ,0.22647                        ,0.30901                        ,0.40153                        ,0.30901                        ,-0.2545                        ,6.9718                         ,0.00045636                     ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,2.7799                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
16.5833                         ,303                            ,36                             ,3                              ,12                             ,0.33333                        ,0.30255                        ,0.030787                       ,0.2225                         ,0.30386                        ,0.39506                        ,0.30386                        ,-0.25161                       ,6.8555                         ,0.00092327                     ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,2.7935                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
17                              ,318                            ,28                             ,3                              ,9.3333                         ,0.27451                        ,0.30404                        ,-0.029528                      ,0.21852                        ,0.29871                        ,0.38858                        ,0.29871                        ,-0.24872                       ,6.7405                         ,0.0011782                      ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,2.8072                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
17.4412                         ,333                            ,34.0667                        ,3.8667                         ,8.8278                         ,0.25964                        ,0.30549                        ,-0.045854                      ,0.21454                        ,0.29354                        ,0.3821                         ,0.29354                        ,-0.24584                       ,6.6272                         ,0.0014188                      ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,2.8209                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
17.8824                         ,348                            ,24.7333                        ,3.2667                         ,7.4667                         ,0.21961                        ,0.30691                        ,-0.087304                      ,0.21054                        ,0.28836                        ,0.37559                        ,0.28836                        ,-0.24295                       ,6.5161                         ,0.0020259                      ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,2.8345                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
18.3235                         ,363                            ,32.4                           ,3.6                            ,8.8                            ,0.2502                         ,0.30828                        ,-0.058087                      ,0.2065                         ,0.28314                        ,0.36904                        ,0.28314                        ,-0.24005                       ,6.4078                         ,0.0019838                      ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,2.8477                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
18.75                           ,378                            ,31.2                           ,3.6                            ,8.4                            ,0.23882                        ,0.3096                         ,-0.07078                       ,0.20241                        ,0.27784                        ,0.36239                        ,0.27784                        ,-0.23714                       ,6.3031                         ,0.001588                       ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,2.8605                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
19.1765                         ,393                            ,23.8667                        ,3.2667                         ,7.0667                         ,0.20784                        ,0.31087                        ,-0.10303                       ,0.19822                        ,0.27242                        ,0.3556                         ,0.27242                        ,-0.23419                       ,6.2029                         ,0.0014214                      ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,2.8726                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
