cm Top_i (cm)                   ,age Top_i (yr BP)              ,char Count_i (#)               ,char Vol_i (cm3)               ,char Con_i (# cm-3)            ,char Acc_i (# cm-2 yr-1)       ,charBkg (# cm-2 yr-1)          ,char Peak (# cm-2 yr-1)        ,thresh 1 (# cm-2 yr-1)         ,thresh 2 (# cm-2 yr-1)         ,thresh 3 (# cm-2 yr-1)         ,thresh FinalPos (# cm-2 yr-1)  ,thresh FinalNeg (# cm-2 yr-1)  ,SNI (index)                    ,thresh GOF (p-val)             ,peaks 1                        ,peaks 2                        ,peaks 3                        ,peaks Final                    ,peaks Insig.                   ,peak Mag (# cm-2 peak-1)       ,smPeak Frequ (peaks 1ka-1)     ,smFRIs (yr*fire-1)             ,nFRIs (#)                      ,mFRI (yr fire-1)               ,mFRI_uCI (yr fire-1)           ,mFRI_lCI (yr fire-1)           ,WBLb (yr)                      ,WBLb_uCI (yr)                  ,WBLb_lCI (yr fire-1)           ,WBLc (unitless)                ,WBLc_uCI (unitless)            ,WBLc_lCI (unitless)            
15.3251                         ,258                            ,1                              ,3                              ,0.33333                        ,0.0071218                      ,0.008266                       ,-0.0011441                     ,0.005365                       ,0.0085506                      ,0.012121                       ,0.0085506                      ,-0.013198                      ,4.487                          ,0.58575                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,5.958                          ,154.1602                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
15.6456                         ,273                            ,0.32467                        ,3                              ,0.10822                        ,0.0023204                      ,0.0082673                      ,-0.0059469                     ,0.0053488                      ,0.008518                       ,0.01207                        ,0.008518                       ,-0.013118                      ,4.4797                         ,0.4935                         ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,5.9199                         ,155.4753                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
15.9672                         ,288                            ,0                              ,3                              ,0                              ,0                              ,0.008288                       ,-0.008288                      ,0.0053427                      ,0.0084977                      ,0.012034                       ,0.0084977                      ,-0.013042                      ,4.4713                         ,0.55248                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,5.8822                         ,156.7905                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
16.2886                         ,303                            ,2.056                          ,3                              ,0.68533                        ,0.014694                       ,0.0083386                      ,0.0063555                      ,0.0053518                      ,0.008496                       ,0.01202                        ,0.008496                       ,-0.01297                       ,4.4616                         ,0.48037                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,5.8447                         ,158.1056                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
16.6102                         ,318                            ,4.304                          ,3                              ,1.4347                         ,0.03076                        ,0.0084266                      ,0.022334                       ,0.0053797                      ,0.0085172                      ,0.012034                       ,0.0085172                      ,-0.012903                      ,4.4504                         ,0.56043                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,5.8077                         ,159.4207                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
16.9318                         ,333                            ,4.576                          ,3                              ,1.5253                         ,0.032726                       ,0.0084855                      ,0.024241                       ,0.0054076                      ,0.0085363                      ,0.012043                       ,0.0085363                      ,-0.012824                      ,4.4567                         ,0.12697                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,5.7711                         ,160.7734                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
17.2536                         ,348                            ,4.298                          ,3                              ,1.4327                         ,0.030718                       ,0.0085401                      ,0.022177                       ,0.005437                       ,0.0085571                      ,0.012054                       ,0.0085571                      ,-0.012745                      ,4.4713                         ,0.18829                        ,1                              ,1                              ,1                              ,1                              ,0                              ,0.7334                         ,5.7351                         ,162.2764                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
17.5753                         ,363                            ,1.0867                         ,3                              ,0.36222                        ,0.0077694                      ,0.0085901                      ,-0.00082068                    ,0.0054663                      ,0.008578                       ,0.012066                       ,0.008578                       ,-0.012666                      ,4.4949                         ,0.18173                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,5.6997                         ,163.7793                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
17.897                          ,378                            ,0                              ,3                              ,0                              ,0                              ,0.0086348                      ,-0.0086348                     ,0.0054952                      ,0.0085986                      ,0.012077                       ,0.0085986                      ,-0.012589                      ,4.5278                         ,0.12111                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,5.6653                         ,165.2823                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
18.2187                         ,393                            ,0                              ,3                              ,0                              ,0                              ,0.0086712                      ,-0.0086712                     ,0.0055233                      ,0.0086189                      ,0.012089                       ,0.0086189                      ,-0.012516                      ,4.5704                         ,0.13554                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,5.6322                         ,166.7853                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
18.5406                         ,408                            ,0.34933                        ,3                              ,0.11644                        ,0.0024988                      ,0.0086967                      ,-0.0061979                     ,0.0055508                      ,0.0086392                      ,0.012101                       ,0.0086392                      ,-0.012446                      ,4.6228                         ,0.0056991                      ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,5.6012                         ,168.2883                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
18.8624                         ,423                            ,2.1453                         ,3                              ,0.71511                        ,0.015346                       ,0.0087072                      ,0.0066386                      ,0.0055779                      ,0.0086598                      ,0.012114                       ,0.0086598                      ,-0.012381                      ,4.685                          ,0.26446                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,5.5734                         ,169.7912                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
19.1843                         ,438                            ,2.96                           ,3                              ,0.98667                        ,0.021187                       ,0.0086979                      ,0.012489                       ,0.0056041                      ,0.0086801                      ,0.012128                       ,0.0086801                      ,-0.01232                       ,4.7569                         ,0.16398                        ,1                              ,1                              ,1                              ,1                              ,0                              ,0.05714                        ,5.5496                         ,171.057                        ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
19.5064                         ,453                            ,1                              ,3                              ,0.33333                        ,0.0071546                      ,0.0086661                      ,-0.0015116                     ,0.0056293                      ,0.0086998                      ,0.012142                       ,0.0086998                      ,-0.012263                      ,4.8379                         ,0.076463                       ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,5.5419                         ,172.1152                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
19.8284                         ,468                            ,0.53267                        ,3                              ,0.17756                        ,0.0038135                      ,0.0086119                      ,-0.0047984                     ,0.0056533                      ,0.0087189                      ,0.012155                       ,0.0087189                      ,-0.01221                       ,4.9275                         ,0.084571                       ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,5.5369                         ,173.1734                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
20.1506                         ,483                            ,0                              ,3                              ,0                              ,0                              ,0.0085378                      ,-0.0085378                     ,0.0056766                      ,0.0087377                      ,0.012169                       ,0.0087377                      ,-0.012161                      ,5.0248                         ,0.11297                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,5.5344                         ,174.2316                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
20.4727                         ,498                            ,1.0547                         ,3                              ,0.35156                        ,0.0075506                      ,0.0084484                      ,-0.00089777                    ,0.0056997                      ,0.0087567                      ,0.012183                       ,0.0087567                      ,-0.012114                      ,5.1289                         ,0.066633                       ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,5.5341                         ,175.2898                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
20.7949                         ,513                            ,1.6367                         ,3                              ,0.54556                        ,0.011721                       ,0.0083479                      ,0.003373                       ,0.0057229                      ,0.0087762                      ,0.012199                       ,0.0087762                      ,-0.012069                      ,5.2391                         ,0.13006                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,5.5357                         ,176.348                        ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
21.1172                         ,528                            ,1.588                          ,3                              ,0.52933                        ,0.011379                       ,0.0082415                      ,0.0031372                      ,0.0057468                      ,0.0087968                      ,0.012215                       ,0.0087968                      ,-0.012026                      ,5.3552                         ,0.18352                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,5.5392                         ,177.4062                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
21.4396                         ,543                            ,0.412                          ,3                              ,0.13733                        ,0.0029521                      ,0.0081334                      ,-0.0051813                     ,0.005772                       ,0.008819                       ,0.012235                       ,0.008819                       ,-0.011984                      ,5.4769                         ,0.20556                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,5.5446                         ,177.8314                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
21.762                          ,558                            ,1.524                          ,3                              ,0.508                          ,0.01092                        ,0.008028                       ,0.002892                       ,0.0057989                      ,0.0088436                      ,0.012256                       ,0.0088436                      ,-0.011943                      ,5.6046                         ,0.24138                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,5.5517                         ,178.1591                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
